Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0603,9,1uF,
C10,0603,1,10uF,
F1,1206,1,750mA,
J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO 40 Pin,
"J10, J11, J12, J3, J5, J6, J7, J8",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,8,SM04B-SRSS-TB(LF)(SN)(P),
J2,FFC-SMD_18P-P0.50_FH34SRJ-18S-0.5SH,1,FH34SRJ-18S-0.5SH(50),
"J4, J9",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04,
"R1, R10, R11, R2",0603,4,3.3K,
"R3, R4, R5, R6, R7, R8, R9",0603,7,4.7K,
"U1, U2",SC-70-6_L2.1-W1.3-P0.65-LS2.1-BR,2,LTC4311CSC6#TRPBF,
